"NoProj","PeriodeDate","CodPrg","NomProjet","NomCatg","Nom_Volet","NbStagReel","NoOrgaQue","NoOrgaEtran","NomOrgaQue","NomOrgaEtran","NomPays","VilleQuartier","Lattitude","Longitude","Secteur principal","Domaine","MontantSubvention","Versement1","Versement2","Versement3","Versement4","Versement5","AnnFinaVersement1","AnnFinaVersement2","AnnFinaVersement3","AnnFinaVersement4","AnnFinaVersement5","Statut"
12,"1998-1999","AAHI","Prévention et soins dentaires","Stages étudiants","",0,62,30,"L'AMIE (Aide internationale à l'enfance)","Ministère de la Santé de la République Dominicaine","Multi-Pays Amérique Latine","",15.00,-80.00,"Santé","Formation de personnel de santé",1250.00,1250.00,0.00,0.00,0.00,0.00,"1998-1999","","","","","Approuvé / Versé"
13,"1998-1999","AAHI","Défi-aventure Québec-Caraïbes","Stages étudiants","",0,62,30,"L'AMIE (Aide internationale à l'enfance)","Ministère de la Santé de la République Dominicaine","Cuba","",23.13,-82.36,"Multisectoriel/Autre",,5000.00,5000.00,0.00,0.00,0.00,0.00,"1998-1999","","","","","Approuvé / Versé"
14,"1997-1998","AAHI","Centre de puériculture et de maternité","Petits projets","",0,64,69,"Centre de solidarité internationale Corcovado inc.","Centre de Puériculture et Maternité Marie Mère de Salvador","Brésil","",-15.78,-47.91,"Santé","Services médicaux",50000.00,50000.00,0.00,0.00,0.00,0.00,"1997-1998","","","","","Approuvé / Versé"
15,"1997-1998","AAHI","Réhabilitation et développement de l'antenne d'Adjouffou à Port-Bouët","Petits projets","",0,65,89,"Chevaliers de Colomb de Ville Lasalle (Les)","Mairie de Port-Bouët","Côte-d'Ivoire","",6.81,-5.27,"Services sociaux","Services sociaux",36645.00,36645.00,0.00,0.00,0.00,0.00,"1997-1998","","","","","Approuvé / Versé"
16,"1997-1998","AAHI","Garnier El Salvador du Collège Saint-Charles Garnier","Stages étudiants","",0,66,322,"Club 2/3","Fundacion Salvadorena para la Promocion Social y el Desarrollo Economico (FUNSALPRODESE)","El Salvador","",13.71,-89.20,"Gouvernance et société civile","Renforcement des structures sociales et communautaires",2200.00,2200.00,0.00,0.00,0.00,0.00,"1997-1998","","","","","Approuvé / Versé"
17,"1998-1999","AAHI","Envoi de volumes au Centre Jacques-Couture de Madagascar","Projets spéciaux","",0,70,90,"Collaboration santé internationale","Centre Jacques-Couture","Madagascar","",-18.91,47.51,"Services sociaux","Culture et loisirs",6000.00,6000.00,0.00,0.00,0.00,0.00,"1998-1999","","","","","Approuvé / Versé"
18,"1998-1999","AAHI","Électrification de 20 cliniques médicales","Grands projets","",0,68,439,"Comité de Solidarité/Trois-Rivières","Cubasolar-Ecosol","Cuba","",23.13,-82.36,"Santé","Infrastructure pour la santé de base",104983.00,59983.00,45000.00,0.00,0.00,0.00,"1998-1999","1999-2000","","","","Approuvé / Versé"
19,"1997-1998","AAHI","Acheminement de matériel pour les enfants du Guatemala","Projets spéciaux","",0,68,21,"Comité de Solidarité/Trois-Rivières","Plusieurs","Guatemala","",14.62,-90.52,"Services sociaux","Services sociaux",2000.00,2000.00,0.00,0.00,0.00,0.00,"1997-1998","","","","","Approuvé / Versé"
20,"1997-1998","AAHI","Appui aux petits métiers","Petits projets","",0,69,110,"Développement et Paix","Conseil de développement d'Andohatapenaka","Madagascar","",-18.91,47.51,"Activités génératrices de revenus","Micro-entreprise",50000.00,50000.00,0.00,0.00,0.00,0.00,"1997-1998","","","","","Approuvé / Versé"
21,"1997-1998","AAHI","Équipement d'un centre de puériculture","Projets spéciaux","",0,70,91,"Collaboration santé internationale","Centro Puericultura Maternidada","Brésil","",-15.78,-47.91,"Santé","Infrastructure pour la santé de base",15333.00,15333.00,0.00,0.00,0.00,0.00,"1997-1998","","","","","Approuvé / Versé"
